sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g
1;;7097169;695505;Bjurholm;Translucent;Colourless;2.5Y; 8/2;Quartzite;lanceolate, straight base;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;18;58;5;6
2;Bjurholm 336;7096348;692959;Bjurholm;Black;Dark;N1; ;Quartzite;;Arrow point fragment;Point fragment;Excavation;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;15;24;5;2
3;Bjurholm 335;7096501;692860;Bjurholm;Gray;Dark;7.5Y; 3/1;Quartzite;lanceolate, straight base;Arrow point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;21;53;7;7
4;Bjurholm 335;7096501;692860;Bjurholm;Black;Dark;N1; ;Quartzite;;Arrow point fragment;Point fragment;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;15;15;7;2
5;Bjurholm 335;7096501;692860;Bjurholm;Opaque;Light;2.5Y; 9/1;Brecciated quartz;;Arrow point fragment;Point fragment;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;11;16;6;
6;Burträsk 32;7149885;761582;Burträsk;Gray;Dark;N4; ;Quartzite;;Point fragment;Point fragment;Excavation;No;Massive;Fine-grained;Dull;None;None;Conchoidal;No;Quartz;15;16;5;1
7;Burträsk 181;7165076;783785;Burträsk;Opaque;Light;5Y; 9/2;Quartz;;Point preform;Preform;Surveyed;Yes;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;43;48;;
8;;7132482;784349;Bygdeå;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point;Point;Stray find;No;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Conchoidal;Yes;;15;81;;
9;;7144375;717871;Degerfors;Opaque;Light;5Y; 9/2;Quartz;lanceolate;Point;Point;Stray find;No;Massive;Fine-grained;Waxy;None;None;Conchoidal;Yes;;18;42;7;7
10;Degerfors 167;7144375;717871;Degerfors;Opaque;Light;5Y; 8/2;Quartzite;;Arrow point;Point;Surveyed;No;Massive;Medium-grained;Waxy;None;None;Fine;No;Dark mineral grains;18;23;6;3
11;;7144375;717871;Degerfors;Opaque;Light;5Y; 8/1;Quartzite;tanged;Point;Point;Unknown;No;Granular;Medium-grained;Bright vitreous;None;None;Smooth;Yes;;12;25;4;2
12;;7144375;717871;Degerfors;Opaque;Light;7.5Y; 8/2;Brecciated quartz;;Point;Point;Unknown;No;Massive;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;23;30;6;7
13;;7144375;717871;Degerfors;White;Light;10Y; 6/3;Quartzite;lanceolate;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;Yes;Conchoidal;Yes;;22;42;7;7
14;Degerfors 318;7141879;717255;Degerfors;White;Light;10Y; 9/1;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Coarse-grained;Dull;None;Yes;Conchoidal;No;Quartz;37;53;17;30
15;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;5Y; 9/1;Quartzite;;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Irregular;Yes;;21;33;;10,9
16;Lycksele 301;7168150;676423;Lycksele;White;White;N9; ;Quartzite;triangular, straight base;Point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;20,8;43,6;;8
17;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;lanceolate;Arrow point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;No;Mineral grains;16,8;35,7;;3,4
18;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;2.5Y; 9/2;Quartzite;lanceolate, straight base;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;19,6;41,3;;4,1
19;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;lanceolate, straight base;Arrow point;Point;Excavation;Yes;Granular;Medium-grained;Dull;None;Foliated;Fine;Yes;;16,2;55,7;;6,2
20;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;lanceolate, straight base;Point;Point;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Foliated;Fine;No;Mineral grains;18,8;53,2;;7,3
