Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
449;Lycksele 301;32334;17;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0363;IMG_0364";Quartzite;Black;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;26;59;;
450;Lycksele 301;32334;18;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0367;IMG_0368";Quartzite;Dark gray streaked with black;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of dark mineral;;;No;17,7;51,6;;5,2
451;Lycksele 301;32334;19;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0369;IMG_0370";Quartzite;Dark gray;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;17;30,8;;3,5
452;Lycksele 301;32334;20;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0371;IMG_0372";Quartzite;Translucent;Translucent;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quartz;;;No;14,2;19;;1,6
453;Lycksele 301;32334;21;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0373;IMG_0374";Quartz;Opaque;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;20,2;35,9;;5,5
454;Lycksele 301;32334;22;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0375;IMG_0376";Quartz;Translucent;Translucent;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;13;17;;
455;Lycksele 301;32334;23;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0377;IMG_0378";Quartzite;Opaque;Light;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;15,4;28,4;;3,2
456;Lycksele 301;32334;24;;;;Knife?;Knife?;;7168150;676423;Lycksele;"IMG_0380;IMG_0381";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;29;71,8;;20,7
457;Lycksele 301;32334;25;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0382;IMG_0383";Quartzite;White;White;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;20,5;32,5;;5,6
458;Lycksele 301;32334;26;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0384;IMG_0385";Quartzite;Gray streaked with white;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;;;;No;15,1;46,3;;4,4
459;Lycksele 301;32334;27;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0386;IMG_0387";Quartzite;Black;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;;;Iron oxide;Yes;18,2;33;;3,7
460;Lycksele 301;32334;28;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0388;IMG_0389";Quartzite;Black;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;;;;Yes;16,3;31;;2,8
461;Lycksele 301;32334;29;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0390;IMG_0391;IMG_0392";Quartzite;White;White;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;16,6;29,3;;3,8
462;Lycksele 301;32334;30;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0393;IMG_0394";Quartzite;Dark gray streaked with black;Dark;Massive;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of dark mineral;;;Yes;16,6;38,6;;3,6
463;Lycksele 301;32334;31;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0397;IMG_0398";Quartzite;Opaque;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;15,8;45;;4,6
464;Lycksele 301;32334;32;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0399;IMG_0400";Quartzite;Gray;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of dark mineral;;;No;20;30,3;;2,5
465;Lycksele 301;32334;33;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0401;IMG_0402";Quartzite;Opaque;Light;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;Possibly iron oxide patina on half;Yes;20,6;45;;9,8
