reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
669	45	45	Stensele 271	Stensele	Yes	7.5Y	 9/1	Light	Opaque	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Irregular	No	Dark mineral grains	MV	Medium	-4.640367065291696	-1.4411461345774224	0.4991097925807663
670	46	46	MV	Umeå	No	5Y	 8/1	Light	Opaque	Breccie quartz	Point	Point	MV	Granular	Fine-grained	Waxy	Possible bedding	None	Fine	No	Dark mineral inclusion	MV	Large	-1.896729771181346	-1.8398431656606267	-0.25643338671728166
671	46b	46	MV	Umeå	No	5Y	 8/1	Light	Opaque	Breccie quartz	Point	Point	Sample point on dark mineral inclusion	Granular	Fine-grained	Waxy	Possible bedding	None	Fine	No	Dark mineral inclusion	MV	Large	5.52592557814342	-1.868738128944876	0.5709743400406154
672	47	47	MV	Umeå	Yes	5Y	 7/2	Light	Opaque	Breccie quartz	Point preform	Preform	MV	Massive	Fine-grained	Waxy	None	None	Conchoidal	No	Dark mineral grains	MV	Large	-0.8629952970796445	-0.38898148849746034	1.5299538175769334
674	49	49	MV	Umeå	No	5Y	 5/4	Light	Opaque	Breccie quartz	Arrow point	Point	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Dark mineral grains	MV	Small	-2.4732514488007196	0.19601056871284522	1.433020274508236
675	50	50	MV	Umeå	No	N9	 	White	White	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	Dirt	Small	-3.9841686989468026	-1.567541604772293	0.35758962826485685
676	51	51	MV	Umeå	No	7.5Y	 5/4	Light	Opaque	Breccie quartz	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Dark mineral grains	Dirt or iron oxide	Small	-5.43403412098114	-2.154321410950242	-0.6037040431386829
677	52	52	MV	Vännäs	No	N3	 	Light	Gray	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	Possible bedding	None	Conchoidal	No	Bands of dark mineral	Glue and dirt	Medium	0.08002767451051443	2.1935783045952078	-0.60971170711196
678	53	53	MV	Vännäs	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Large	-3.002859235900246	-1.3054696414723181	-0.41414488582772874
679	54	54	Åsele 115	Åsele	No	N2	 	Dark	Gray	Quartzite	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Fine	Yes	MV	MV	Medium	-0.870518340484346	0.2038789776960519	-0.8198031477451676
