sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
35;Stensele 481;Stensele;7223941;592246;19373;;;;;Arrow point;Point;;"IMG_9383;IMG_9384";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;19;30;6;5;570;Small;
36;Stensele 74;Stensele;7221583;597773;19382;15;;;;Arrow point;Point;;"IMG_9385;IMG_9386";Quartzite;Opaque;7.5Y; 8/1;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;19;42;7;6;798;Medium;
37;Stensele 200;Stensele;7261567;546025;92139;;;;;Arrow point fragment;Point fragment;;"IMG_9387;IMG_9388";Breccie quartz;Opaque;7.5Y; 8/1;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;5;;No;20;33;7;6;660;Medium;
38;Stensele 106;Stensele;7260504;545445;92143;1;;;;Arrow point fragment;Point fragment;;"IMG_9389;IMG_9390";Breccie quartz;Opaque;7.5Y; 7/2;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;5;;Yes;21;29;5;3;609;Medium;
39;;Umeå;753262;7095829;1037;;;;;Point;Point;;"IMG_9391;IMG_9392";Breccie quartz;Opaque;7.5Y; 8/2;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;5;Dirt, modern;No;20;71;7;;1420;Medium;TRUE
40;Umeå 262;Umeå;7099908;754073;32023;1;;;;Point;Point;;"IMG_9393;IMG_9394;IMG_9395";Quartz;Translucent;; ;Massive;Massive;Bright vitreous;None;None;No;Dark mineral grains;5;;No;6;15;;;90;Small;
41;Umeå 510;Umeå;7108970;753228;92382;3;;;;Point;Point;;"IMG_9397;IMG_9398";Quartzite;Gray streaked with white;N2; ;Massive;Fine-grained;Bright vitreous;None;None;No;Bands of quartz and mineral grains;;;No;18;46;5;5;828;Medium;
42;;Umeå;753262;7095829;27179;57;;;;Arrow point;Point;;"IMG_9399;IMG_9400";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;13;51;;;663;Medium;TRUE
43;;Umeå;753262;7095829;27179;47;;;;Arrow point;Point;;"IMG_9401;IMG_9402";Breccie quartz;Opaque;7.5Y; 7/3;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral grains;5;Dirt;Yes;17;56;;;952;Medium;TRUE
44;Stensele 75;Stensele;7221248;598195;19283;5;;;;Point preform;Preform;;"IMG_9403;IMG_9404";Quartzite;White;N9; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;31;68;18;40;2108;Large;
45;Stensele 271;Stensele;7216749;599351;19295;3;;;;Point preform;Preform;;"IMG_9405;IMG_9407";Quartzite;Opaque;7.5Y; 9/1;Granular;Fine-grained;Waxy;None;None;No;Dark mineral grains;2;;Yes;22;43;9;10;946;Medium;
46;;Umeå;753262;7095829;2450;;;;;Point;Point;;"IMG_9435;IMG_9436;IMG_9438;IMG_9439;IMG_9438-39_stitch;IMG_9439;IMG_9440;IMG_9440-41_stitch;IMG_9441";Breccie quartz;Opaque;5Y; 8/1;Granular;Fine-grained;Waxy;Possible bedding;None;No;Dark mineral inclusion;33;;No;63;184;10;;11592;Large;TRUE
47;;Umeå;753262;7095829;7971;;;;;Point preform;Preform;;"IMG_9442;IMG_9443;IMG_9444;IMG_9444-45_stitch;IMG_9445;IMG_9446;IMG_9446-47_stitch;IMG_9447";Breccie quartz;Opaque;5Y; 7/2;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;5;;Yes;61;114;;;6954;Large;TRUE
48;;Umeå;753262;7095829;27179;28;;;;Knife preform;Knife;;"IMG_9448;IMG_9449";Breccie quartz;Opaque;5Y; 7/1;Massive;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;10;Iron oxide;No;50;123;;;6150;Large;TRUE
