sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
351;Dorotea 159:1;7144507;546226;Dorotea;Gray streaked with black;Dark;N2; ;Quartzite;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Bright vitreous;None;Possible foliation;Fine;No;Bands of dark mineral;21;67;;;1407;Medium;Fjällsjöälven
352;Dorotea 286:1;7179826;516823;Dorotea;Light gray;Light;7.5Y; 8/1;Quartzite;Point preform;Preform;Surveyed;Yes;Massive;Medium-grained;Bright vitreous;None;None;Fine;No;Dark mineral;30,6;51,5;6;13,1;1575,9;Medium;Fjällsjöälven
353;Dorotea 7;7140710;552022;Dorotea;White;Light;5Y; 7/2;Quartzite;Point preform;Preform;Surveyed;No;Massive;Fine-grained;Waxy;None;None;Smooth;Yes;;26;25;;;650;Medium;Fjällsjöälven
354;Tärna 6;7333681;491206;Tärna;Translucent;Colourless;; ;Brecciated quartzite;Flake;Flake;Excavation;No;Massive;Fine-grained;Dull;None;None;Conchoidal;Yes;;8;10;;;80;Small;Umeälven
355;Tärna 6;7333681;491206;Tärna;Light gray;Dark;5Y; 5/2;Brecciated quartzite;Flake;Flake;Excavation;No;Granular;Fine-grained;Dull;Bedding;None;Conchoidal;Yes;;14;29;;;406;Small;Umeälven
356;Dorotea 304;7174756;522069;Dorotea;Gray;Dark;N3; ;Quartzite;Spear point;Point;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;34;33;11;12;1122;Medium;Fjällsjöälven
357;Tärna 6;7333681;491206;Tärna;Light gray;Dark;5Y; 3/1;Brecciated quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;10;12;;;120;Small;Umeälven
358;Tärna 20;7323716;495553;Tärna;Gray;Dark;N3; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;41;6;4;615;Medium;Umeälven
359;Vilhelmina 444;7144672;586277;Vilhelmina;Black;Dark;N2; ;Quartzite;Point preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;22;60;11;15;1320;Medium;Ångermanälven
360;;7201665;548201;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point fragment;Point fragment;Survey;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Bands of quartz;15;39;;;585;Small;Ångermanälven
361;;7285986;509493;Tärna;Black;Dark;N1; ;Quartzite;Spear point;Point;Survey;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;35;78;16;36;2730;Large;Umeälven
362;;7285986;509493;Tärna;Gray;Dark;N3; ;Quartzite;Arrow point;Point;Survey;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Bands of quartz;18;50;16;9;900;Medium;Umeälven
363;Tärna 33;7316850;502441;Tärna;Black;Dark;N1; ;Quartzite;Arrow point;Point;Survey;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;19;55;16;7;1045;Medium;Umeälven
364;Tärna 550;7320161;503823;Tärna;White;White;N9; ;Quartzite;Retouched flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;52;60;12;54;3120;Large;Umeälven
365;Tärna 550;7320161;503823;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartz;Flake;Flake;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;18;20;;;360;Small;Umeälven
366;Tärna 550;7320161;503823;Tärna;Red;Dark;5YR; 3/6;Quartzite;Flake;Flake;Excavation;Yes;Massive;Fine-grained;Dull;None;None;Smooth;Yes;;18;18;;;324;Small;Umeälven
367;Tärna 550;7320161;503823;Tärna;Yellow;Light;5Y; 7/3;Slate;Flake;Flake;Excavation;No;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;12;13;;;156;Small;Umeälven
368;Tärna 547;7321296;504251;Tärna;Translucent;Dark;10YR; 5/3;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;21;26;;;546;Small;Umeälven
369;Tärna 547;7321296;504251;Tärna;Translucent;Colourless;; ;Quartzite;Flake;Flake;Excavation;No;Granular;Fine-grained;Dull;None;None;Smooth;Yes;;18;25;;;450;Small;Umeälven
370;Tärna 547;7321296;504251;Tärna;Translucent;Colourless;; ;Quartzite;Flake;Flake;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;15;20;;;300;Small;Umeälven
371;Tärna 547;7321296;504251;Tärna;White;White;N9; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;20;24;;;480;Small;Umeälven
372;Tärna 547;7321296;504251;Tärna;White;White;N9; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;22;;;352;Small;Umeälven
373;Tärna 547;7321296;504251;Tärna;White;White;N9; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;15;19;;;285;Small;Umeälven
374;Tärna 547;7321296;504251;Tärna;Translucent;Colourless;; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;19;18;;;342;Small;Umeälven
375;Tärna 547;7321296;504251;Tärna;White;White;N9; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;21;22;;;462;Small;Umeälven
376;Tärna 547;7321296;504251;Tärna;Gray;Dark;10YR; 4/1;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;Possible bedding;None;Fine;Yes;;22;28;;;616;Medium;Umeälven
